Subject,Baseline Ridge Trial Acc,Conformer Trial Acc,Difference,Median Margin
S1,0.650,0.600,-0.050,0.0196
S2,0.551,0.900,0.349,0.0130
S3,0.551,0.900,0.349,0.0360
S4,0.551,0.900,0.349,0.0431
S5,0.551,0.850,0.299,0.0323
S6,0.551,0.850,0.299,0.0387
S7,0.551,0.850,0.299,0.0270
S8,0.551,0.800,0.249,0.0078
S9,0.551,0.800,0.249,0.0130
S10,0.550,0.800,0.250,0.0178
S11,0.800,0.950,0.150,0.0336
S12,0.600,0.650,0.050,0.0099
S13,0.551,0.700,0.149,0.0219
S14,0.551,0.750,0.199,0.0107
S15,0.551,0.650,0.099,0.0051
S16,0.551,0.750,0.199,0.0099
