Subject,Mean Accuracy (%),Std Dev (%),Seed 1 (%),Seed 123 (%),Seed 21 (%),Seed 42 (%),Seed 7 (%)
S11,99.0,2.0,100.0,95.0,100.0,100.0,100.0
S2,90.0,4.47213595499958,85.0,95.0,90.0,85.0,95.0
S5,88.0,5.0990195135927845,90.0,80.0,95.0,85.0,90.0
S7,87.0,2.449489742783178,90.0,85.0,85.0,85.0,90.0
S6,84.0,10.677078252031311,65.0,90.0,95.0,80.0,90.0
S4,77.0,6.782329983125268,70.0,70.0,75.0,85.0,85.0
S3,77.0,2.449489742783178,75.0,80.0,75.0,80.0,75.0
S8,77.0,6.0,70.0,85.0,80.0,70.0,80.0
S12,76.0,7.3484692283495345,65.0,85.0,70.0,80.0,80.0
S14,76.0,6.6332495807108,65.0,75.0,75.0,85.0,80.0
S10,75.0,3.1622776601683795,75.0,80.0,70.0,75.0,75.0
S9,69.0,4.898979485566356,70.0,75.0,70.0,60.0,70.0
S16,66.0,6.633249580710797,70.0,75.0,65.0,55.00000000000001,65.0
S13,65.0,13.784048752090222,45.0,85.0,70.0,55.00000000000001,70.0
S1,65.0,11.832159566199232,50.0,60.0,60.0,85.0,70.0
S15,63.0,11.6619037896906,65.0,75.0,75.0,45.0,55.00000000000001
