Time Start (s),Time End (s),Mean Margin Drop
0.0,0.25,0.0005669677290162495
0.25,0.5,0.00101216520432884
0.5,0.75,0.0012213149889942281
0.75,1.0,0.0007883685536352598
1.0,1.25,-4.8112232419089965e-06
1.25,1.5,-0.0008097403299609018
1.5,1.75,-0.00018280676127780402
1.75,2.0,0.0003983578648854992
2.0,2.25,9.240294571485474e-05
2.25,2.5,0.0017742676204530437
2.5,2.75,0.0017973811222179654
2.75,3.0,0.0007529119428585607
3.0,3.25,0.0007767560906759789
3.25,3.5,-0.0017041998328179836
3.5,3.75,9.974934218300435e-05
3.75,4.0,-0.0013208588084203025
4.0,4.25,0.002119833185765779
4.25,4.5,0.0011383961277638495
4.5,4.75,0.00037923441324614867
4.75,5.0,0.0011798245047923385
5.0,5.25,0.0015557927195775352
5.25,5.5,0.0003990935008960921
5.5,5.75,0.00020556684747566193
5.75,6.0,0.0004726829921633846
6.0,6.25,0.001382545384246241
6.25,6.5,0.0012132682261265365
6.5,6.75,0.0008526393487769938
6.75,7.0,0.0003908814897702048
7.0,7.25,0.0003479568609783832
7.25,7.5,-0.0021537499927081487
7.5,7.75,0.0021685795748653926
7.75,8.0,0.00036079384639286496
8.0,8.25,-0.0005018463357604776
8.25,8.5,0.0006951220829774931
8.5,8.75,9.336534433606499e-05
8.75,9.0,0.0007272276353602539
9.0,9.25,0.0010543164751313377
9.25,9.5,0.0006930987287502168
9.5,9.75,0.00047834615405286133
9.75,10.0,0.00172212662791781
